,ID,cidade,estado,lat,long
2430,23457,Firebaugh (near),CA,32.7199,-117.1805
2431,23471,San Jose,CA,37.3435,-121.8887
2432,23473,Blythe,CA,33.5843,-114.6263
2433,23474,Fresno,CA,36.8424,-119.8031
2434,23477,Sacramento,CA,38.5819,-121.4935
2435,23482,Los Angeles,CA,33.9736,-118.2479
2436,23484,Balboa Island,CA,32.7199,-117.1805
2437,23485,Antelope,CA,38.7152,-121.3561
2438,23486,Temple City,CA,34.1031,-118.0509
2439,23498,Victorville,CA,34.4779,-117.4036
2440,23505,San Diego,CA,32.7199,-117.1805
2441,23508,Newport Beach,CA,33.6187,-117.9283
2442,23525,Stockton,CA,37.9578,-121.2897
2443,23526,Chico,CA,39.7432,-121.8397
2444,23528,Stockton,CA,37.9578,-121.2897
2445,23535,Sacramento (east),CA,32.7199,-117.1805
2446,23538,Fresno,CA,36.8424,-119.8031
2447,23547,Oakland,CA,37.777,-122.2159
2448,23555,Thousand Oaks,CA,34.1707,-118.8364
2449,23559,Eastvale,CA,32.7199,-117.1805
2450,23567,Monrovia,CA,34.1535,-117.9741
2451,23571,Fresno,CA,36.8424,-119.8031
2452,23579,Cornell,CA,32.7199,-117.1805
2453,23582,Venice,CA,33.9942,-118.4637
2454,23583,Porterville,CA,35.9944,-118.8775
2455,23585,Tehama,CA,40.0216,-122.1289
2456,23596,Riverbank,CA,37.7327,-120.9475
2457,23603,Bakersfield,CA,35.3879,-119.0236
2458,23607,Monterey Bay,CA,32.7199,-117.1805
2459,23623,Fallbrook,CA,33.3943,-117.2964
2460,23639,Danville,CA,37.8101,-121.911
2461,23652,Fresno,CA,36.8424,-119.8031
2462,23657,Atwater,CA,37.2931,-120.646
2463,23661,Pismo,CA,32.7199,-117.1805
2464,23664,Cambria,CA,35.5847,-120.9943
2465,23665,Elk Grove,CA,38.443,-121.2993
2466,23668,Stockton,CA,37.9578,-121.2897
2467,23672,Sacramento,CA,38.5819,-121.4935
2468,23686,Rancho Cucamonga,CA,34.1464,-117.5911
2469,23692,City of Industry,CA,32.7199,-117.1805
2470,23693,Santa Ana,CA,33.7468,-117.8554
2471,23698,Newport Beach,CA,33.6187,-117.9283
2472,23701,San Francisco,CA,37.77,-122.41
2473,23703,Santa Cruz,CA,37.069,-122.1569
2474,23706,Yuba City,CA,39.0324,-121.6051
2475,23708,Ridgecrest,CA,35.6843,-117.4154
2476,23709,Rio Linda,CA,38.6888,-121.4568
2477,23728,Citrus Heights,CA,38.6926,-121.2676
2478,23733,Mercey Hot Springs/Firebaugh,CA,32.7199,-117.1805
2479,23744,Salinas,CA,36.6603,-121.6498
2480,23763,Sacramento,CA,38.5819,-121.4935
2481,23782,Piñon Hills,CA,32.7199,-117.1805
2482,23809,Oildale,CA,32.7199,-117.1805
2483,23820,Oxnard,CA,34.2091,-119.1831
2484,23821,Woodland Hills,CA,34.1542,-118.5994
2485,23828,Garden Grove,CA,33.7886,-117.9277
2486,23834,Upland,CA,34.1499,-117.6572
2487,23840,Isla Vista,CA,32.7199,-117.1805
2488,23842,Ridgecrest,CA,35.6843,-117.4154
2489,23852,Borrego Springs,CA,33.1506,-116.3496
2490,23861,Moreno Valley,CA,33.8809,-117.2247
2491,23888,San Jose,CA,37.3435,-121.8887
2492,23891,Paramount,CA,33.8991,-118.1652
2493,23894,Brentwood,CA,37.8998,-121.7351
2494,23899,Fairfield,CA,38.2802,-122.0202
2495,23910,Highland,CA,34.1198,-117.1689
2496,23912,Huntington Beach,CA,33.7036,-117.9942
2497,23932,Covina,CA,34.0966,-117.9073
2498,23945,Fresno,CA,36.8424,-119.8031
2499,23946,Sacramento,CA,38.5819,-121.4935
2500,23987,Orange,CA,33.7878,-117.8523
