,cidade,estado,formato,data,hora,dia_semana,dia,mes
319,Macomb,MI,Cigar,8/1/17,21:45,Terça-feira,1,8
320,Crystal Lake,IL,Light,8/1/17,21:30,Terça-feira,1,8
321,Estacada,OR,Diamond,8/1/17,21:00,Terça-feira,1,8
322,Wheatland,MO,Light,8/1/17,21:00,Terça-feira,1,8
323,Newcastle,OK,Triangle,8/1/17,21:00,Terça-feira,1,8
324,Joppa,MD,Circle,8/1/17,21:00,Terça-feira,1,8
325,Piscataway,NJ,Disk,8/1/17,16:40,Terça-feira,1,8
326,Joliet,IL,Other,8/1/17,14:00,Terça-feira,1,8
327,Columbus (North),GA,Fireball,8/1/17,06:15,Terça-feira,1,8
328,Corcoran,MN,Light,8/1/17,02:45,Terça-feira,1,8
329,Moreno Valley,CA,Other,8/1/17,02:00,Terça-feira,1,8
330,Bradenton,FL,Other,8/1/17,01:00,Terça-feira,1,8
331,Laurel,MD,Other,8/1/17,,Terça-feira,1,8
332,Bellevue,WA,Circle,7/31/17,23:17,Segunda-feira,31,7
333,Aiken,SC,Flash,7/31/17,22:05,Segunda-feira,31,7
334,Sandy Hook,CT,Fireball,7/31/17,22:00,Segunda-feira,31,7
335,Buffalo,NY,Oval,7/31/17,22:00,Segunda-feira,31,7
336,Woodford,VA,Disk,7/31/17,21:15,Segunda-feira,31,7
337,Benicia,CA,Sphere,7/31/17,21:00,Segunda-feira,31,7
338,Bennington,NE,Light,7/31/17,16:04,Segunda-feira,31,7
339,Kapaa,HI,Other,7/31/17,07:21,Segunda-feira,31,7
340,West Green,GA,Diamond,7/31/17,05:30,Segunda-feira,31,7
341,Rising Sun,MD,Light,7/31/17,02:15,Segunda-feira,31,7
342,Buffalo,NY,Fireball,7/31/17,01:52,Segunda-feira,31,7
343,Fayetteville,NC,Cigar,7/31/17,01:00,Segunda-feira,31,7
344,Las Vegas,NV,Sphere,7/30/17,20:00,Domingo,30,7
345,Greenbrier,TN,Disk,7/30/17,19:55,Domingo,30,7
346,Norfolk,VA,Cylinder,7/30/17,19:30,Domingo,30,7
347,Pikeville,NC,Circle,7/30/17,04:00,Domingo,30,7
348,Chattanooga,TN,Oval,7/30/17,03:45,Domingo,30,7
349,Lewiston,MI,Light,7/30/17,00:00,Domingo,30,7
350,Lexington,NC,Triangle,7/29/17,23:30,Sábado,29,7
351,Bellingham,WA,Other,7/29/17,23:00,Sábado,29,7
352,Everett,WA,Circle,7/29/17,23:00,Sábado,29,7
353,Bellevue,WA,Circle,7/29/17,22:45,Sábado,29,7
354,Enumclaw,WA,Fireball,7/29/17,22:15,Sábado,29,7
355,Tobyhanna,PA,Sphere,7/29/17,22:10,Sábado,29,7
356,Keller,TX,Formation,7/29/17,22:00,Sábado,29,7
357,Little River,SC,Fireball,7/29/17,22:00,Sábado,29,7
358,Yelm (near),WA,Light,7/29/17,21:58,Sábado,29,7
359,Chehalis,WA,Circle,7/29/17,21:58,Sábado,29,7
360,Olalla,WA,Light,7/29/17,21:58,Sábado,29,7
361,Harrison,ID,Fireball,7/29/17,21:55,Sábado,29,7
362,Kent,WA,Other,7/29/17,21:55,Sábado,29,7
363,Bellevue,WA,Fireball,7/29/17,21:55,Sábado,29,7
364,Pilot Point,TX,Rectangle,7/29/17,21:30,Sábado,29,7
365,Santa Fe,NM,Cylinder,7/29/17,21:30,Sábado,29,7
366,Chanhassen,MN,Disk,7/29/17,21:20,Sábado,29,7
367,Worcester,MA,Light,7/29/17,21:15,Sábado,29,7
368,San Gabriel,CA,Circle,7/29/17,21:00,Sábado,29,7
369,Brookfield,WI,Other,7/29/17,20:30,Sábado,29,7
370,Lake Worth,FL,Sphere,7/28/17,23:25,Sexta-feira,28,7
371,Chicago,IL,Fireball,7/28/17,22:30,Sexta-feira,28,7
372,Hawarden,IA,Sphere,7/28/17,22:00,Sexta-feira,28,7
373,Hammond,NY,Circle,7/28/17,21:00,Sexta-feira,28,7
374,Sacramento,CA,Changing,7/28/17,20:50,Sexta-feira,28,7
375,Stevens Point,WI,Circle,7/28/17,19:25,Sexta-feira,28,7
376,West Jordan,UT,Triangle,7/28/17,16:00,Sexta-feira,28,7
377,San Bernardino,CA,Other,7/28/17,10:13,Sexta-feira,28,7
378,Lake Worth,FL,Fireball,7/28/17,08:30,Sexta-feira,28,7
379,Cathedral City,CA,Flash,7/28/17,00:41,Sexta-feira,28,7
380,Sherman Oaks,CA,Fireball,7/27/17,23:54,Quinta-Feira,27,7
381,Raton,NM,Cylinder,7/27/17,23:30,Quinta-Feira,27,7
